아이디,댓글 내용
  시안Cyan,"학생 때 사물놀이 6년을 하면서 살짝 난청이 왔나봐요. 전화할 때 잘 못듣는 점, 마스크 때문에 입모양을 읽을 수 없어서 난감한 점, 안들리다보니 제 목소리도 작아지는 점, 그로 인해 자신감도 잃고 대화하는 걸 두려워하는 점까지.. 이번편은 너무 공감가는 부분이 많네요. 청력검사는 정상이고 난청으로 진단받은 건 아니지만 많은 분들이 저와 비슷한 어려움을 겪는다는 사실을 알게 되니까 두려움이 조금 나아지는 것 같아요."
  멍때리는루피,항상 영상 잘 보고 있습니다. 혹시 연축성발성장애 에 대해서도 다뤄주실 수 있을까요? 3년 전 발병했고 이 병 때문에 여전히 힘든 일상을 보내고 있는데요. 워낙 이해받기 쉽지 않은 병이라 조금이라도 널리 알려졌으면 하는 마음에 부탁드려봅니다.
  혜교화로운생,영상 잘 봤습니다! 이명과 난청 증상이 있어서 대학병원에 갔는데 메니에르 인 것 같다고 그러시더라구요.. 근데 어지러울 때 바로 응급실로 오라고 하셨는데 어지러웠다가 괜찮아졌다 가 반복 되어서 ..치료할 때 타이밍이 잘 맞아야 된다고 그러셨는데 타이밍을 못 잡겠어요.. ㅠㅠ 예전보다 사람들이랑 대화하면 다시 물어봐야 되는 것도 많아졌구요 고민입니다..
  김아리옹,평소에 귀가 밝은 편이라 남들이 못 듣는 바람소리나 이런 건 잘 듣는데 이상하게 사람이랑 대화하거나 통화할 때 말귀를 잘 못 알아듣겠어요.. 그래서 친구들이나 가족들이 일부러 못 알아듣는 척 하지 말라고 장난인거 다 안다고 그러는데 정말 집중을 해도 못알아듣겠어서 너무 속상해요ㅠㅠ 다들 말에 집중을 안 해서 그렇다 이러는데 코로나 때문에 마스크를 쓴 이후로 더 심해진 것 같더라구요. 저는 여태 모르고 있었는데 제가 대화를 할 때 사람 입을 보고 집중한다는 사실도 얼마 전에 깨달았어요... 주변에서 계속 짜증을 내니 저도 스트레스를 받는데 알아주는 사람은 아무도 없네요..ㅠㅠㅠ
  달콤한귤양,며칠 전에 난청 검사를 했는데... 잘 들리면서 왜 안 들린다 그러냐고 그러더라고요...ㅠㅠ 저한테 집중해서 안 듣는거라고...ㅠㅠ 부스에서 삐뽀 검사는 조용하고 집중이 되니까 다 들렸어요. 조용한 곳에서 집중하면 작은 소리까지 다 들리는데 아이들이 조금만 떠드는 곳이면 잘 못 듣거든요...ㅠㅠ 진짜 나 안 들리는 건 어디가서 얘기해야 하나요...
  KellyCali_,난청에 진짜 중요한게... 안듣고 싶어서 안듣는게 아니라 안들려서 못듣는거에요.. 그리고 종종 모르는 사람들은 듣고싶은거만 걸러듣는다고 오해해요.. 속상합니다
  하귤,혹시 돌발청 난성에 대해서도 이야기 해 주실 수 있나요??고3에 갑작스레 돌발성 난청이 와 28살이 된 지금도 아직 청력이 완전히 회복이 안되었어요…ㅜㅜ(이명 또한 계속 되고 있어요ㅜㅜ)당시 돌발성 난청은 원인이 명확하지 않다 했는데 여전히 원인불명인가요??돌발성 난청에 대해서도 다뤄주시면 감사하겠습니다!!
  령초,"항상 청력검사에서는 정상이라 나오긴 하는데, 일상생활에서는 사람들 말이 우물우물 들리거나 외계어마냥 들리고, 몇 번씩 물어보기엔 상대방이 너무 불편해 하는게 보이더라고요...코로나 때문에 마스크로 사람 입 모양이 안 보이니까 하는 말이 더 이해가 안 됐고요ㅠ전화할 때 상대 말이 잘 이해가 안 됐던 이유를 코로나 터지고 나서 확실하게 알았어요...대화할 때 상대방의 비언어적 표현과 입모양에 많이 의지하는 편이더라고요.잘 안 들려서 생긴 습관인지는 모르겠는데 깨닫고 나니 좀 충격적으로 다가왔어요.듣는 것 때문에 미치고 팔짝 뛰겠습니다ㅠㅠ"
  더러러러,03:43ㅜㅜ 쌤 웃는거 너모 귀여우심
  LT Aillialin,20대 초반에 생긴 난청을 31살돼서 치료 받기 시작해 1년째 치료 받고 있는데 와우 심어야 한다 하더라구요... 군대있을때 사격소음이랑 스트레스때문에 생겼는데 그때 치료 받을걸 싶더라구요... 약먹는거도 약먹는거지만 먹어도 피곤하면 난청 심해지구... 군대 사격 다들 조심해요... 내몸은 내가 챙겨야 합니다... 말해봐야 꾀병취급해요
  그노,가끔 SMC 암병원 지하3층에서 지나가다가 조영상 교수님 뵙는데 영상으로 보니 더 반갑네요!!
  성하,무선 이어폰 사용이 증가한 것도 난청 환자 증가에 영향이 있을거 같네요. 밖에서도 언제 어디서든 귀에 이어폰을 꽂고 다니니..
  성하,항생제 잘못 복용해도 난청이 올수 있다니 ㄷㄷ
  neo,"좀처럼 찾기 힘든, 수준 높으면서도 쉬운 좋은 내용이네요."
  danny lee,아 진짜 끝까지 정주행!젊은 친구들 난청은 안다뤄주시네요 ㅠㅠ이어폰 볼륨 왕창 올려서 듣다가 귀 망가지는 경우 많이 봄
  jiniseo,집중 해서 듣느라고 좋아요도 안 누르고 있었어요.설명을 참 잘 해주셔서 귀에 쏙쏙 들어 옵니당.다음 시간 이어폰편 많이 기대하고 기다리고 있을께요~^️^
  대학간고냉이,정확히 난청과 치매가 어떤 상관관계가 있는지도 설명해주셨으면 좋겠어요.예를 들어 ‘소리를 듣기위해 신경을 과도하게 집중하면서 스트레스가 올라가고 그로인해 뇌의 피로도가 올라가서 치매의 유발이 올라간다’ 이런식으로요. (저 예시는 저의 추측입니다.)
  한겸,돌발성난청에 대해서도 영상찍어주세요 많이들 모르시더라구요.
  베이 ベーイ,다음 영상은 이어폰 관련이군요!! 좋지 않은 이어폰 사용 습관으로 인한 문제점이나 위험성이 높다고 하는 것은 알겠는데 이미 이어폰 끼는 생활에 너무 익숙해져서ㅜㅜ 저는 잘 때도 이어폰 끼고 노래 들으면서 자는 편이거든요ㅠㅠㅠㅠ 이게 정말 안좋을 것이라는 건 알고 있지만 이제는 습관이 되어서 이어폰을 끼고 음악을 듣지 않으면 잠이 안오드라구요…ㅠ 그래도 스스로 가능한만큼 최대한 노력해서 고쳐야겠다는 생각은 항상 듭니다ㅜㅜㅜㅜㅜㅜ 다음 영상 너무 기다려지네요ㅠ
  [은하루]eunharu,이관기능장애에 대해서도 다뤄주시면 안될까요???
  시월,안녕하세요! 항상 재밌게 보고 있습니다..!저는 부주상골증후군 (발에 뼈가 하나가 더 있는 증후군)을 가지고 있는 사람입니다..! 저도 30년을 모르고 지내다가 우연찮게 발 엑스레이를 찍고나서 알게 되었어요..오래 걷거나 뛰거나 제자리뛰기(줄넘기…) 같은 운동은 전혀 할 수가 없어서 너무 힘이 듭니다…ㅠㅠ혹시 부주상골증후군과 관련된 정보에 대해서 영상으로 다뤄주실 수 있을까요?  항상 좋은 의학 이야기 다뤄주셔서 감사합니다~!!
  Minju Kim,"선생님들, 얼마전에 다이어트 제약 업계의 게임체인저가 될 거라는 마운자로가 fda승인을 받고 1년 뒤에 한국에도 들어올 거라고 하는데요, 삭센다와 비슷한 기전이면서도 그 효과가 훨씬 커서 이제 비만은 평정되었다는 말까지 나오던데 이 마운자로에 대해 한 번만 다뤄주실 수 있을까요?"
  나는지금힐링중,이관개방증에대해서 다뤄주시면 안될까요 ㅠㅠ
  modangirl,부모님 두분이 작업환경이 시끄러운 곳에서 일하셔서 크게 소리쳐야 알아들으실 정도예요. 어머니는 어디서 이상한 보청기를 가지고 오셔서 끼신지 몇년되셨는데 전보다 더 안들리시는듯 해요. 부모님이 귀가 점점 안들리시는거 같으면 무엇부터 해야하나요? 이비인후과를 먼저 가야하나요? 보청기전문점?에 가야하나요? 보청기는 어떻게 고르고 주의해야 할점이 있을까요?
  An H,"이소골이경화증 이란 전음성난청도 설명해주실수 잇나요ㅠㅠ 아직 수술하기에는 완전히 이석화되지 않앗다는데 증상완화 할 수 잇는 방법이 잇는지, 수술을 하게 될 경우 하는 게 좋은지 궁금해요"
  Lucy Ter(루시테르),"돌발성 난청은 검사를 해도 원인을 모른다 하던데, 보청기도 소용 없을거라 말씀하시고.코로나 이전까지는 그래도 괜찮았는데 정말 마스크 때문에 의사소통에 문제가 생겨서 엄청 불편해요.난청있는 귀로는 전화 받아야지 라는 생각은 하지도 않아요.차라리 난청 온 귀가 아무 소리도 안 들리면 좋았을텐데, 마치 라디오 주파수 안 맞은 것처럼 이명이 너무 심해요.덕분에 회사에선 말 안듣는 사람 되버렸고, 안 들린다고 이야기 해도 제대로 기억해주는 사람 없고, 귀좀 파! 라는 소리만 매일 들어요ㅋㅋ스트레스 관리를 꾸준히 해주고 늦잠 자는 버릇도 고치고 해서, 아주 조금, 정말 조금 나아지기는 했는데 더 효과적인 방법이 있을까요?하도 주변 사람들이 뭐라 하니까, 지금이라도 병원을 꾸준히 다녀야하나 고민이 되네요."
  강민지,메니에르 재발로 계속 난청이 떨어졌다 좋아졌다 하는데 계속 떨어진 상태면 수술로도 좋아질 수 있나요??
  윤2,전 30중반에 난청 진단 받았는데요. 물론 이명도 같이 있구요. 회사에서 업무볼때 참 불편하고 여러명과 대화할때와 목소리가 작은사람은 듣지못 합니다. 오래되서 생활불편은 감안하고 사는데 치매와 상관관계라니..ㅠ
  임은혜,난청이라고 하면 평소에 듣는 음악이 더 작게들리거나 해야한다고 생각이 들었는데요~ 저는 왜 어느날은 평소보다 작은 소리 음악에도 엄청 크게 울리는 걸까요.. 이것도 문제인가요ㅠㅠㅠ
  MINO,유익하네요ㅜㅜ  요즘 고생 중인데
  Lakas,"선천적으로 못들어서 인공와우 이식 수술을 받게 된다면 성장하면서 머리가 커질텐데, 이식했던 인공와우도 재수술이나 시술을 통해 교체를 해줘야 되는 건가요? 궁금하네요."
